"county","cases","population","race","gender","age"
"juniata",0,3039,"w","m","40.59"
"juniata",1,994,"w","m","60.69"
"juniata",1,991,"w","m","70+"
"lackawanna",0,2506,"o","f","Under.40"
"lackawanna",0,594,"o","f","40.59"
"lackawanna",0,111,"o","f","60.69"
"lackawanna",0,117,"o","f","70+"
"lackawanna",0,50214,"w","f","Under.40"
"lackawanna",11,28179,"w","f","40.59"
"lackawanna",17,10190,"w","f","60.69"
"lackawanna",35,20770,"w","f","70+"
"lackawanna",0,2872,"o","m","Under.40"
"lackawanna",0,705,"o","m","40.59"
"lackawanna",0,140,"o","m","60.69"
"lackawanna",1,90,"o","m","70+"
"lackawanna",0,50019,"w","m","Under.40"
"lackawanna",18,27137,"w","m","40.59"
"lackawanna",31,8434,"w","m","60.69"
"lackawanna",68,11217,"w","m","70+"
"lancaster",0,14869,"o","f","Under.40"
"lancaster",1,3748,"o","f","40.59"
"lancaster",2,690,"o","f","60.69"
"lancaster",7,636,"o","f","70+"
"lancaster",2,116127,"w","f","Under.40"
"lancaster",18,58287,"w","f","40.59"
"lancaster",31,17642,"w","f","60.69"
"lancaster",66,29205,"w","f","70+"
"lancaster",0,15347,"o","m","Under.40"
"lancaster",3,3885,"o","m","40.59"
"lancaster",0,623,"o","m","60.69"
"lancaster",1,404,"o","m","70+"
"lancaster",2,117881,"w","m","Under.40"
"lancaster",31,56310,"w","m","40.59"
"lancaster",50,15903,"w","m","60.69"
"lancaster",87,19101,"w","m","70+"
"lawrence",0,1653,"o","f","Under.40"
"lawrence",0,483,"o","f","40.59"
"lawrence",3,128,"o","f","60.69"
"lawrence",2,175,"o","f","70+"
"lawrence",1,21617,"w","f","Under.40"
"lawrence",5,12604,"w","f","40.59"
"lawrence",6,4495,"w","f","60.69"
"lawrence",19,8494,"w","f","70+"
"lawrence",0,1671,"o","m","Under.40"
"lawrence",1,424,"o","m","40.59"
"lawrence",1,108,"o","m","60.69"
"lawrence",0,107,"o","m","70+"
"lawrence",0,21637,"w","m","Under.40"
"lawrence",6,12083,"w","m","40.59"
"lawrence",6,3785,"w","m","60.69"
"lawrence",26,5179,"w","m","70+"
"lebanon",0,2338,"o","f","Under.40"
"lebanon",1,625,"o","f","40.59"
"lebanon",0,115,"o","f","60.69"
"lebanon",0,96,"o","f","70+"
"lebanon",0,28490,"w","f","Under.40"
"lebanon",3,15917,"w","f","40.59"
"lebanon",3,5234,"w","f","60.69"
"lebanon",20,8902,"w","f","70+"
"lebanon",0,2550,"o","m","Under.40"
"lebanon",1,753,"o","m","40.59"
"lebanon",0,110,"o","m","60.69"
"lebanon",0,78,"o","m","70+"
"lebanon",0,29202,"w","m","Under.40"
"lebanon",11,15597,"w","m","40.59"
"lebanon",9,4705,"w","m","60.69"
"lebanon",29,5615,"w","m","70+"
"lehigh",0,15262,"o","f","Under.40"
"lehigh",2,3823,"o","f","40.59"
"lehigh",3,692,"o","f","60.69"
"lehigh",2,503,"o","f","70+"
"lehigh",1,66471,"w","f","Under.40"
"lehigh",18,39593,"w","f","40.59"
"lehigh",28,12438,"w","f","60.69"
"lehigh",63,22754,"w","f","70+"
"lehigh",0,15585,"o","m","Under.40"
"lehigh",3,3743,"o","m","40.59"
"lehigh",0,554,"o","m","60.69"
"lehigh",1,338,"o","m","70+"
"lehigh",0,67459,"w","m","Under.40"
"lehigh",22,38246,"w","m","40.59"
"lehigh",39,10906,"w","m","60.69"
"lehigh",70,13723,"w","m","70+"
"luzerne",0,3132,"o","f","Under.40"
"luzerne",0,826,"o","f","40.59"
"luzerne",0,170,"o","f","60.69"
"luzerne",0,183,"o","f","70+"
"luzerne",1,72422,"w","f","Under.40"
"luzerne",22,42128,"w","f","40.59"
"luzerne",31,15526,"w","f","60.69"
"luzerne",54,31068,"w","f","70+"
"luzerne",0,4703,"o","m","Under.40"
"luzerne",0,1452,"o","m","40.59"
"luzerne",2,196,"o","m","60.69"
"luzerne",0,112,"o","m","70+"
"luzerne",0,75392,"w","m","Under.40"
"luzerne",27,41779,"w","m","40.59"
"luzerne",44,13204,"w","m","60.69"
"luzerne",104,16957,"w","m","70+"
"lycoming",0,2646,"o","f","Under.40"
"lycoming",2,780,"o","f","40.59"
"lycoming",0,126,"o","f","60.69"
"lycoming",0,123,"o","f","70+"
"lycoming",0,28103,"w","f","Under.40"
"lycoming",9,15712,"w","f","40.59"
"lycoming",9,5201,"w","f","60.69"
"lycoming",24,8671,"w","f","70+"
"lycoming",0,2704,"o","m","Under.40"
"lycoming",0,751,"o","m","40.59"
"lycoming",0,98,"o","m","60.69"
"lycoming",0,79,"o","m","70+"
"lycoming",1,29628,"w","m","Under.40"
"lycoming",8,15319,"w","m","40.59"
"lycoming",20,4630,"w","m","60.69"
"lycoming",25,5473,"w","m","70+"
"mckean",0,202,"o","f","Under.40"
"mckean",0,78,"o","f","40.59"
"mckean",0,26,"o","f","60.69"
"mckean",2,20,"o","f","70+"
"mckean",0,11188,"w","f","Under.40"
"mckean",6,5866,"w","f","40.59"
"mckean",3,2119,"w","f","60.69"
"mckean",7,3424,"w","f","70+"
"mckean",0,970,"o","m","Under.40"
"mckean",0,289,"o","m","40.59"
"mckean",0,23,"o","m","60.69"
"mckean",0,16,"o","m","70+"
"mckean",0,11554,"w","m","Under.40"
"mckean",2,6046,"w","m","40.59"
"mckean",4,1848,"w","m","60.69"
"mckean",11,2267,"w","m","70+"
"mercer",0,2623,"o","f","Under.40"
"mercer",0,899,"o","f","40.59"
"mercer",1,292,"o","f","60.69"
"mercer",0,308,"o","f","70+"
"mercer",0,27149,"w","f","Under.40"
"mercer",6,15355,"w","f","40.59"
"mercer",11,5429,"w","f","60.69"
"mercer",22,9715,"w","f","70+"
"mercer",0,2813,"o","m","Under.40"
"mercer",1,905,"o","m","40.59"
"mercer",1,213,"o","m","60.69"
"mercer",1,209,"o","m","70+"
"mercer",0,28257,"w","m","Under.40"
"mercer",8,15125,"w","m","40.59"
"mercer",21,4741,"w","m","60.69"
"mercer",26,6260,"w","m","70+"
"mifflin",0,254,"o","f","Under.40"
"mifflin",0,52,"o","f","40.59"
"mifflin",0,15,"o","f","60.69"
"mifflin",0,12,"o","f","70+"
"mifflin",1,11702,"w","f","Under.40"
"mifflin",10,6151,"w","f","40.59"
"mifflin",4,2279,"w","f","60.69"
"mifflin",12,3601,"w","f","70+"
"mifflin",0,262,"o","m","Under.40"
"mifflin",0,69,"o","m","40.59"
"mifflin",0,8,"o","m","60.69"
"mifflin",0,11,"o","m","70+"
"mifflin",0,11882,"w","m","Under.40"
"mifflin",3,5969,"w","m","40.59"
"mifflin",6,2050,"w","m","60.69"
"mifflin",9,2169,"w","m","70+"
"monroe",0,5668,"o","f","Under.40"
"monroe",0,2046,"o","f","40.59"
"monroe",0,323,"o","f","60.69"
"monroe",1,259,"o","f","70+"
"monroe",0,32500,"w","f","Under.40"
"monroe",13,17679,"w","f","40.59"
"monroe",10,5185,"w","f","60.69"
"monroe",18,6537,"w","f","70+"
"monroe",0,5522,"o","m","Under.40"
"monroe",1,2019,"o","m","40.59"
"monroe",2,336,"o","m","60.69"
"monroe",0,172,"o","m","70+"
"monroe",1,32710,"w","m","Under.40"
"monroe",11,17796,"w","m","40.59"
"monroe",19,5028,"w","m","60.69"
"monroe",34,4907,"w","m","70+"
"montgomery",0,32576,"o","f","Under.40"
"montgomery",7,12737,"o","f","40.59"
"montgomery",10,2849,"o","f","60.69"
"montgomery",10,2888,"o","f","70+"
"montgomery",1,165368,"w","f","Under.40"
"montgomery",37,94388,"w","f","40.59"
"montgomery",58,28071,"w","f","60.69"
"montgomery",160,48666,"w","f","70+"
"montgomery",0,33680,"o","m","Under.40"
"montgomery",2,12440,"o","m","40.59"
"montgomery",10,2753,"o","m","60.69"
"montgomery",10,1664,"o","m","70+"
"montgomery",2,167021,"w","m","Under.40"
"montgomery",43,90072,"w","m","40.59"
"montgomery",68,24125,"w","m","60.69"
"montgomery",181,30799,"w","m","70+"
"montour",0,216,"o","f","Under.40"
"montour",0,52,"o","f","40.59"
"montour",0,8,"o","f","60.69"
"montour",0,6,"o","f","70+"
"montour",0,4417,"w","f","Under.40"
"montour",0,2512,"w","f","40.59"
"montour",1,861,"w","f","60.69"
"montour",4,1503,"w","f","70+"
"montour",0,252,"o","m","Under.40"
"montour",0,56,"o","m","40.59"
"montour",0,13,"o","m","60.69"
"montour",0,5,"o","m","70+"
"montour",0,4314,"w","m","Under.40"
"montour",0,2444,"w","m","40.59"
"montour",2,752,"w","m","60.69"
"montour",1,825,"w","m","70+"
"northampton",0,8455,"o","f","Under.40"
"northampton",1,2376,"o","f","40.59"
"northampton",0,473,"o","f","60.69"
"northampton",1,470,"o","f","70+"
"northampton",0,60412,"w","f","Under.40"
"northampton",23,35347,"w","f","40.59"
"northampton",25,10555,"w","f","60.69"
"northampton",52,19017,"w","f","70+"
"northampton",0,8688,"o","m","Under.40"
"northampton",0,2277,"o","m","40.59"
"northampton",1,418,"o","m","60.69"
"northampton",1,270,"o","m","70+"
"northampton",1,62522,"w","m","Under.40"
"northampton",25,34337,"w","m","40.59"
"northampton",26,9365,"w","m","60.69"
"northampton",80,12084,"w","m","70+"
"northumberland",0,572,"o","f","Under.40"
"northumberland",0,169,"o","f","40.59"
"northumberland",0,35,"o","f","60.69"
"northumberland",0,49,"o","f","70+"
"northumberland",0,21371,"w","f","Under.40"
"northumberland",6,12626,"w","f","40.59"
"northumberland",9,4628,"w","f","60.69"
"northumberland",16,8731,"w","f","70+"
"northumberland",0,1505,"o","m","Under.40"
"northumberland",0,374,"o","m","40.59"
"northumberland",0,30,"o","m","60.69"
"northumberland",0,19,"o","m","70+"
"northumberland",1,22689,"w","m","Under.40"
"northumberland",6,12617,"w","m","40.59"
"northumberland",16,4151,"w","m","60.69"
"northumberland",29,4990,"w","m","70+"
"perry",0,196,"o","f","Under.40"
"perry",0,63,"o","f","40.59"
"perry",0,12,"o","f","60.69"
"perry",0,8,"o","f","70+"
"perry",0,11516,"w","f","Under.40"
"perry",4,6304,"w","f","40.59"
"perry",6,1697,"w","f","60.69"
"perry",7,2186,"w","f","70+"
"perry",0,279,"o","m","Under.40"
"perry",0,65,"o","m","40.59"
"perry",0,10,"o","m","60.69"
"perry",0,5,"o","m","70+"
"perry",0,11613,"w","m","Under.40"
"perry",5,6445,"w","m","40.59"
"perry",2,1668,"w","m","60.69"
"perry",7,1535,"w","m","70+"
"philadelphia",2,278613,"o","f","Under.40"
"philadelphia",74,106060,"o","f","40.59"
"philadelphia",80,31213,"o","f","60.69"
"philadelphia",130,37060,"o","f","70+"
"philadelphia",2,173685,"w","f","Under.40"
"philadelphia",79,87745,"w","f","40.59"
"philadelphia",86,32477,"w","f","60.69"
"philadelphia",235,65590,"w","f","70+"
"philadelphia",2,257128,"o","m","Under.40"
"philadelphia",77,82346,"o","m","40.59"
"philadelphia",81,21828,"o","m","60.69"
"philadelphia",139,20035,"o","m","70+"
"philadelphia",2,177587,"w","m","Under.40"
"philadelphia",82,82728,"w","m","40.59"
"philadelphia",108,26540,"w","m","60.69"
"philadelphia",236,36915,"w","m","70+"
"pike",0,982,"o","f","Under.40"
"pike",0,478,"o","f","40.59"
"pike",0,78,"o","f","60.69"
"pike",0,68,"o","f","70+"
"pike",0,10728,"w","f","Under.40"
"pike",6,6216,"w","f","40.59"
"pike",5,2263,"w","f","60.69"
"pike",9,2415,"w","f","70+"
"pike",0,993,"o","m","Under.40"
"pike",1,460,"o","m","40.59"
"pike",0,81,"o","m","60.69"
"pike",1,53,"o","m","70+"
"pike",0,10807,"w","m","Under.40"
"pike",1,6226,"w","m","40.59"
"pike",6,2245,"w","m","60.69"
"pike",6,2209,"w","m","70+"
"potter",0,118,"o","f","Under.40"
"potter",0,40,"o","f","40.59"
"potter",0,10,"o","f","60.69"
"potter",1,12,"o","f","70+"
"potter",0,4469,"w","f","Under.40"
"potter",3,2373,"w","f","40.59"
"potter",2,848,"w","f","60.69"
"potter",3,1290,"w","f","70+"
"potter",0,108,"o","m","Under.40"
"potter",0,39,"o","m","40.59"
"potter",1,17,"o","m","60.69"
"potter",2,7,"o","m","70+"
"potter",0,4598,"w","m","Under.40"
"potter",5,2433,"w","m","40.59"
"potter",3,830,"w","m","60.69"
"potter",2,888,"w","m","70+"
"schuylkill",0,827,"o","f","Under.40"
"schuylkill",0,253,"o","f","40.59"
"schuylkill",0,49,"o","f","60.69"
"schuylkill",0,71,"o","f","70+"
"schuylkill",0,33246,"w","f","Under.40"
"schuylkill",12,19492,"w","f","40.59"
"schuylkill",11,7247,"w","f","60.69"
"schuylkill",32,14333,"w","f","70+"
"schuylkill",0,2945,"o","m","Under.40"
"schuylkill",0,825,"o","m","40.59"
"schuylkill",0,68,"o","m","60.69"
"schuylkill",1,49,"o","m","70+"
"schuylkill",0,35903,"w","m","Under.40"
"schuylkill",14,20190,"w","m","40.59"
"schuylkill",20,6385,"w","m","60.69"
"schuylkill",46,8453,"w","m","70+"
"snyder",0,265,"o","f","Under.40"
"snyder",0,60,"o","f","40.59"
"snyder",0,19,"o","f","60.69"
"snyder",0,9,"o","f","70+"
"snyder",0,10015,"w","f","Under.40"
"snyder",2,4928,"w","f","40.59"
"snyder",5,1612,"w","f","60.69"
"snyder",3,2286,"w","f","70+"
"snyder",0,291,"o","m","Under.40"
"snyder",0,114,"o","m","40.59"
"snyder",0,8,"o","m","60.69"
"snyder",0,12,"o","m","70+"
"snyder",0,10058,"w","m","Under.40"
"snyder",2,4892,"w","m","40.59"
"snyder",3,1455,"w","m","60.69"
"snyder",13,1522,"w","m","70+"
"somerset",0,225,"o","f","Under.40"
"somerset",0,77,"o","f","40.59"
"somerset",0,24,"o","f","60.69"
"somerset",0,20,"o","f","70+"
"somerset",0,18583,"w","f","Under.40"
"somerset",3,10632,"w","f","40.59"
"somerset",4,3860,"w","f","60.69"
"somerset",13,6635,"w","f","70+"
"somerset",0,1333,"o","m","Under.40"
"somerset",0,337,"o","m","40.59"
"somerset",0,44,"o","m","60.69"
"somerset",1,25,"o","m","70+"
"somerset",1,19554,"w","m","Under.40"
"somerset",6,11040,"w","m","40.59"
"somerset",9,3394,"w","m","60.69"
"somerset",17,4240,"w","m","70+"
"sullivan",0,91,"o","f","Under.40"
"sullivan",0,13,"o","f","40.59"
"sullivan",0,4,"o","f","60.69"
"sullivan",0,3,"o","f","70+"
"sullivan",0,1318,"w","f","Under.40"
"sullivan",0,855,"w","f","40.59"
"sullivan",0,383,"w","f","60.69"
"sullivan",2,577,"w","f","70+"
"sullivan",0,162,"o","m","Under.40"
"sullivan",0,6,"o","m","40.59"
"sullivan",0,5,"o","m","60.69"
"sullivan",0,6,"o","m","70+"
"sullivan",0,1388,"w","m","Under.40"
"sullivan",0,876,"w","m","40.59"
"sullivan",0,395,"w","m","60.69"
"sullivan",1,474,"w","m","70+"
"susquehanna",0,175,"o","f","Under.40"
"susquehanna",0,89,"o","f","40.59"
"susquehanna",0,15,"o","f","60.69"
"susquehanna",0,21,"o","f","70+"
"susquehanna",0,10365,"w","f","Under.40"
"susquehanna",8,5883,"w","f","40.59"
"susquehanna",2,1920,"w","f","60.69"
"susquehanna",6,2767,"w","f","70+"
"susquehanna",0,199,"o","m","Under.40"
"susquehanna",0,87,"o","m","40.59"
"susquehanna",0,18,"o","m","60.69"
"susquehanna",0,13,"o","m","70+"
"susquehanna",2,10742,"w","m","Under.40"
"susquehanna",6,6029,"w","m","40.59"
"susquehanna",3,1955,"w","m","60.69"
"susquehanna",7,1960,"w","m","70+"
"tioga",0,279,"o","f","Under.40"
"tioga",0,83,"o","f","40.59"
"tioga",0,19,"o","f","60.69"
"tioga",0,14,"o","f","70+"
"tioga",1,10556,"w","f","Under.40"
"tioga",1,5491,"w","f","40.59"
"tioga",1,1956,"w","f","60.69"
"tioga",7,2722,"w","f","70+"
"tioga",0,293,"o","m","Under.40"
"tioga",0,66,"o","m","40.59"
"tioga",0,21,"o","m","60.69"
"tioga",0,9,"o","m","70+"
"tioga",0,10513,"w","m","Under.40"
"tioga",2,5377,"w","m","40.59"
"tioga",6,1977,"w","m","60.69"
"tioga",10,1997,"w","m","70+"
"union",0,477,"o","f","Under.40"
"union",0,75,"o","f","40.59"
"union",0,23,"o","f","60.69"
"union",0,14,"o","f","70+"
"union",0,9382,"w","f","Under.40"
"union",3,4570,"w","f","40.59"
"union",0,1488,"w","f","60.69"
"union",6,2559,"w","f","70+"
"union",0,2630,"o","m","Under.40"
"union",2,836,"o","m","40.59"
"union",0,56,"o","m","60.69"
"union",0,17,"o","m","70+"
"union",1,11170,"w","m","Under.40"
"union",3,5267,"w","m","40.59"
"union",4,1464,"w","m","60.69"
"union",9,1596,"w","m","70+"
"venango",0,412,"o","f","Under.40"
"venango",0,131,"o","f","40.59"
"venango",0,39,"o","f","60.69"
"venango",0,24,"o","f","70+"
"venango",0,13629,"w","f","Under.40"
"venango",1,8152,"w","f","40.59"
"venango",7,2851,"w","f","60.69"
"venango",15,4224,"w","f","70+"
"venango",0,575,"o","m","Under.40"
"venango",0,121,"o","m","40.59"
"venango",1,33,"o","m","60.69"
"venango",1,22,"o","m","70+"
"venango",0,13992,"w","m","Under.40"
"venango",3,8116,"w","m","40.59"
"venango",18,2459,"w","m","60.69"
"venango",24,2785,"w","m","70+"
"warren",0,165,"o","f","Under.40"
"warren",0,77,"o","f","40.59"
"warren",0,13,"o","f","60.69"
"warren",0,15,"o","f","70+"
"warren",0,10397,"w","f","Under.40"
"warren",4,6362,"w","f","40.59"
"warren",1,2150,"w","f","60.69"
"warren",8,3178,"w","f","70+"
"warren",0,185,"o","m","Under.40"
"warren",0,89,"o","m","40.59"
"warren",0,21,"o","m","60.69"
"warren",0,12,"o","m","70+"
"warren",0,10805,"w","m","Under.40"
"warren",3,6278,"w","m","40.59"
"warren",6,1983,"w","m","60.69"
"warren",13,2133,"w","m","70+"
"washington",0,2992,"o","f","Under.40"
"washington",1,1060,"o","f","40.59"
"washington",0,346,"o","f","60.69"
"washington",1,510,"o","f","70+"
"washington",0,46096,"w","f","Under.40"
"washington",13,28549,"w","f","40.59"
"washington",19,9454,"w","f","60.69"
"washington",51,16444,"w","f","70+"
"washington",0,3011,"o","m","Under.40"
"washington",1,1064,"o","m","40.59"
"washington",1,289,"o","m","60.69"
"washington",1,328,"o","m","70+"
"washington",0,46753,"w","m","Under.40"
"washington",27,27667,"w","m","40.59"
"washington",22,7995,"w","m","60.69"
"washington",57,10339,"w","m","70+"
"wayne",0,300,"o","f","Under.40"
"wayne",0,149,"o","f","40.59"
"wayne",0,37,"o","f","60.69"
"wayne",0,29,"o","f","70+"
"wayne",0,10905,"w","f","Under.40"
"wayne",4,6444,"w","f","40.59"
"wayne",10,2476,"w","f","60.69"
"wayne",5,3440,"w","f","70+"
"wayne",0,627,"o","m","Under.40"
"wayne",1,341,"o","m","40.59"
"wayne",0,52,"o","m","60.69"
"wayne",1,27,"o","m","70+"
"wayne",1,11422,"w","m","Under.40"
"wayne",7,6693,"w","m","40.59"
"wayne",6,2304,"w","m","60.69"
"wayne",10,2476,"w","m","70+"
"westmoreland",0,3854,"o","f","Under.40"
"westmoreland",2,1463,"o","f","40.59"
"westmoreland",0,353,"o","f","60.69"
"westmoreland",1,461,"o","f","70+"
"westmoreland",1,83250,"w","f","Under.40"
"westmoreland",25,53392,"w","f","40.59"
"westmoreland",29,18104,"w","f","60.69"
"westmoreland",101,30681,"w","f","70+"
"westmoreland",0,4405,"o","m","Under.40"
"westmoreland",4,1545,"o","m","40.59"
"westmoreland",2,311,"o","m","60.69"
"westmoreland",4,276,"o","m","70+"
"westmoreland",1,85209,"w","m","Under.40"
"westmoreland",31,51605,"w","m","40.59"
"westmoreland",52,15349,"w","m","60.69"
"westmoreland",119,19735,"w","m","70+"
"wyoming",0,157,"o","f","Under.40"
"wyoming",0,50,"o","f","40.59"
"wyoming",0,6,"o","f","60.69"
"wyoming",0,7,"o","f","70+"
"wyoming",0,7198,"w","f","Under.40"
"wyoming",0,3953,"w","f","40.59"
"wyoming",1,1084,"w","f","60.69"
"wyoming",3,1686,"w","f","70+"
"wyoming",0,207,"o","m","Under.40"
"wyoming",0,49,"o","m","40.59"
"wyoming",0,5,"o","m","60.69"
"wyoming",0,1,"o","m","70+"
"wyoming",0,7465,"w","m","Under.40"
"wyoming",2,4072,"w","m","40.59"
"wyoming",4,1115,"w","m","60.69"
"wyoming",4,1025,"w","m","70+"
"york",0,9875,"o","f","Under.40"
"york",2,2803,"o","f","40.59"
"york",4,567,"o","f","60.69"
"york",1,511,"o","f","70+"
"york",2,91628,"w","f","Under.40"
"york",19,51713,"w","f","40.59"
"york",31,14891,"w","f","60.69"
"york",59,22096,"w","f","70+"
"york",0,10234,"o","m","Under.40"
"york",5,2826,"o","m","40.59"
"york",1,513,"o","m","60.69"
"york",1,319,"o","m","70+"
"york",0,93689,"w","m","Under.40"
"york",30,51757,"w","m","40.59"
"york",40,13863,"w","m","60.69"
"york",84,14466,"w","m","70+"
